id,customer_id,employee_id,product_id,transaction_date,quantity,discount_amount,reward_point
204,1415,2,309,18:30.0,6,3.93,10.64
205,186,5,1865,04:09.0,3,0,0.67
206,704,20,325,35:12.0,10,0,4.14
207,1977,17,1952,45:00.0,7,6.25,2.8
208,1517,5,1317,11:20.0,1,0,1.66
209,1040,10,201,06:21.0,4,0,2.51
210,1097,7,1490,15:22.0,2,43.67,1.69
211,893,7,1870,50:54.0,3,0,5.18
212,1924,5,569,15:00.0,1,0,1.14
213,666,13,223,27:26.0,4,0,2.69
214,1553,17,1846,43:23.0,7,0,6.14
215,1717,13,1153,06:48.0,8,0,10.39
216,176,10,1100,09:20.0,9,0,14.69
217,1475,1,446,05:49.0,1,0,1.85
218,1663,13,1103,23:38.0,4,8.82,0.73
219,364,10,428,20:09.0,6,0,9.3
220,760,13,825,43:24.0,4,0,2.95
221,917,20,1599,55:44.0,9,0,3.98
222,45,17,1842,28:22.0,6,24.39,10.92
223,139,1,1711,58:16.0,1,0,1.76
224,1433,2,788,48:33.0,2,21.69,2.17
225,981,5,1135,44:27.0,2,0,1.17
226,1745,2,1740,07:09.0,8,47.35,11.33
227,794,1,935,21:13.0,5,0,0.84
228,1536,10,1502,44:55.0,4,0,0.77
229,1338,17,1182,19:24.0,8,0,1.28
230,652,13,1512,43:18.0,4,0,5.22
231,799,10,786,16:25.0,5,0,9.11
232,936,10,1991,19:36.0,1,0,1.48
233,1330,20,1190,56:00.0,10,0,17.1
234,246,17,168,27:33.0,5,0,5.26
235,171,4,1653,56:58.0,9,0,10.48
236,1243,7,1807,17:12.0,9,0,14.72
237,1731,7,960,48:14.0,9,0,3.6
238,1054,4,1342,25:28.0,7,0,13.51
239,1250,1,110,29:56.0,3,0,4.36
240,996,7,516,25:45.0,7,0,5.09
241,1681,10,900,35:11.0,2,0,0.18
242,751,7,432,17:08.0,9,0,7.12
243,990,5,1212,21:32.0,1,0,0.45
244,1013,5,10,13:08.0,4,0,1.5
245,896,13,138,32:14.0,3,0,5.04
246,580,7,1365,04:43.0,3,0,4.05
247,137,1,973,06:16.0,3,0,0.36
248,1158,5,611,44:54.0,6,0,10.31
249,1876,17,624,31:41.0,10,0,18.75
250,472,13,80,37:05.0,2,0,1.79
251,1696,5,1620,12:22.0,1,37.95,1.09
252,1044,7,1496,35:23.0,8,0,11.83
253,1026,17,1027,24:00.0,8,0,15.96
254,38,20,1375,20:34.0,9,0,3.78
255,228,5,1809,45:08.0,4,16.78,4.46
256,1554,2,490,12:48.0,2,0,0.31
257,79,1,1244,04:19.0,1,35.49,1.23
258,1382,20,792,39:35.0,10,0,3.4
259,592,17,1762,31:26.0,2,0,1.7
260,1639,2,1539,15:21.0,8,0,5.27
261,862,20,1140,18:54.0,2,28.01,3.67
262,1644,1,1179,28:28.0,6,34.59,3.97
263,1878,4,115,23:35.0,6,0,5.07
264,1019,5,1334,48:50.0,1,0,0.21
265,1092,2,56,44:37.0,8,0,4.11
266,1995,13,462,10:12.0,2,43.19,1.29
267,1851,2,1251,41:24.0,2,0,2.57
268,1906,17,133,24:04.0,1,0,1.7
269,99,2,407,42:18.0,2,0,3.47
270,1386,4,1573,06:51.0,8,0,1.21
271,833,20,1710,43:23.0,10,0,12.48
272,567,1,987,21:15.0,5,0,3.96
273,1206,5,127,34:39.0,5,0,3.64
274,864,7,61,46:21.0,9,0,14.48
275,368,20,1561,58:03.0,2,0,0.79
276,1136,7,593,07:45.0,2,0,3.03
277,1174,5,1066,32:55.0,1,0,1.74
278,1462,2,480,11:30.0,7,0,6.49
279,1396,7,1319,01:05.0,4,0,5.1
280,1036,17,1403,49:33.0,10,0,7.05
281,1378,7,1873,15:20.0,3,0,4.24
282,1940,4,1561,08:54.0,4,23.93,3.02
283,403,13,59,15:33.0,10,0,4.42
284,813,4,489,28:40.0,7,0,2.83
285,150,7,1862,15:37.0,10,16,11.34
286,158,4,1555,46:15.0,9,0,1.18
287,1933,10,1106,24:04.0,4,0,3.72
288,1567,20,385,03:14.0,8,0,14.98
289,1514,20,1981,58:12.0,6,0,7.68
290,920,17,1398,18:05.0,3,0,5.62
291,1465,13,787,26:36.0,4,0,4.37
292,1617,2,1801,50:22.0,7,0,11.28
293,1416,17,1726,06:59.0,7,0,1.83
294,1151,7,1264,36:53.0,1,0,0.32
295,922,1,713,33:13.0,6,0,1.68
296,117,13,31,16:55.0,1,0,0.91
297,992,10,1708,00:47.0,2,0,3.83
298,1223,2,1020,04:39.0,9,0,0.79
299,403,5,1333,34:43.0,8,0,14.3
300,392,2,1531,04:09.0,3,25.95,1.98
301,1568,4,1715,48:53.0,5,0,8.24
302,1236,1,1301,57:13.0,7,0,4.49
303,371,20,454,00:30.0,5,0,9.46
304,636,17,1164,18:31.0,4,0,5.65
305,1101,10,1234,01:59.0,1,0,1.14
306,1748,1,338,19:11.0,7,0,1.37
307,772,17,616,10:57.0,8,0,4.79
308,862,5,1149,54:15.0,3,16.34,4.07
309,1511,10,238,06:20.0,6,0,8.27
310,158,20,1002,47:45.0,9,0,12.68
311,1142,5,1926,18:57.0,5,0,4.6
312,150,17,286,25:03.0,10,0,3.25
313,1306,4,1014,41:52.0,9,0,9.28
314,1299,20,1228,48:42.0,8,0,1.9
315,1440,17,830,16:26.0,2,0,2.67
316,270,5,366,46:57.0,2,0,0.39
317,639,1,358,44:53.0,2,0,1.85
318,1896,7,991,09:29.0,4,0,4.17
319,726,5,646,12:52.0,9,0,17.84
320,1573,7,494,43:41.0,1,0,0.37
321,1842,20,54,41:57.0,9,0,13.37
322,1798,1,1864,08:39.0,1,0,0.98
323,1203,10,1109,31:54.0,2,0,0.28
324,208,2,1585,38:00.0,7,0,4.98
325,1965,17,399,05:41.0,10,0,9.56
326,231,5,1578,44:18.0,6,0,7.19
327,1156,7,1493,11:02.0,8,0,7.29
328,229,4,817,43:37.0,5,0,5.02
329,1996,4,1871,19:14.0,8,0,0.07
330,980,17,874,50:42.0,1,0,0.29
331,862,7,1187,22:07.0,10,0,3.6
332,163,7,207,28:14.0,1,0,0.13
333,981,4,1497,41:33.0,5,0,7.3
334,215,5,1816,53:06.0,4,0,4.27
335,1168,20,1688,36:43.0,10,0,6.9
336,1148,2,1341,32:56.0,8,0,8.16
337,1525,13,431,57:24.0,7,0,0.27
338,872,17,50,06:03.0,9,46.44,9.78
339,1046,1,824,29:27.0,3,0,1.77
340,616,4,1109,38:11.0,1,0,1.1
341,1954,2,1176,52:25.0,8,0,5.42
342,799,20,486,55:30.0,10,0,8.05
343,1680,5,1189,48:35.0,3,0,3.29
344,1548,20,1650,24:27.0,9,0,3.49
345,1407,1,1582,16:07.0,3,0,3.78
346,1518,20,1834,00:02.0,8,0,14.88
347,926,1,742,52:15.0,6,0,8.56
348,372,1,435,48:18.0,2,0,2.01
349,990,20,1737,58:44.0,3,10.04,5.05
350,1465,1,1679,44:12.0,1,0,0.84
351,1486,17,224,50:07.0,1,0,0.39
352,603,1,511,57:31.0,6,0,8.17
353,888,13,169,36:18.0,10,0,14.04
354,592,10,1477,25:04.0,8,0,0
355,1275,7,1538,08:02.0,9,0,4.11
356,841,20,635,51:22.0,4,0,7.1
357,1146,5,31,39:26.0,9,22.37,6.29
358,1825,2,278,42:44.0,8,0,15.73
359,1304,1,991,14:57.0,1,0,1.87
360,44,2,591,38:05.0,8,0,14.89
361,490,20,318,25:04.0,7,0,11.16
362,1744,1,1485,19:30.0,1,48.6,0.45
363,1958,13,1294,04:41.0,6,0,1.98
364,1366,20,1912,21:57.0,8,0,4.65
365,1997,2,1084,12:26.0,2,8.07,2.63
366,1697,4,764,37:52.0,2,0,3.21
367,1929,20,1802,37:44.0,7,0,12.03
368,1610,1,1583,58:59.0,6,0,4.21
369,1786,13,1213,06:24.0,9,0,15.3
370,1154,7,1502,38:41.0,6,28.67,4.69
371,1977,2,516,31:54.0,8,0,6.4
372,687,5,1753,27:48.0,10,0,14.34
373,1214,2,1504,39:39.0,4,0,3.68
374,1629,7,903,22:53.0,8,27.14,13.69
375,1962,4,942,27:18.0,3,0,5.73
376,1363,1,978,06:26.0,4,0,6.45
377,1197,1,1393,08:02.0,5,0,9.48
378,624,2,202,01:41.0,7,42.73,4.72
379,1881,5,1968,37:07.0,10,0,19.29
380,1346,2,1181,27:57.0,5,0,1.01
381,27,2,1078,17:35.0,1,0,0.88
382,1394,13,1517,30:07.0,4,0,2.55
383,1666,2,1249,54:07.0,8,0,8.34
384,929,1,872,55:27.0,8,0,6.14
385,316,5,1593,54:40.0,3,0,2.61
386,1153,5,1511,48:24.0,9,20.05,0.76
387,253,17,1621,01:15.0,1,0,1.31
388,447,20,214,27:28.0,9,0,9.12
389,334,4,1706,06:17.0,2,0,0.82
390,1702,7,1085,47:08.0,8,0,10.61
391,1688,20,1347,53:41.0,10,0,19.39
392,1655,13,1646,13:24.0,5,0,8.41
393,1798,7,314,58:20.0,5,45.46,4.63
394,1182,7,419,43:59.0,9,0,5.68
395,1142,10,446,15:20.0,4,0,2.35
396,1283,17,40,46:14.0,6,0,9.64
397,284,7,156,09:26.0,10,0,5.34
398,382,2,544,46:51.0,10,0,17.31
399,523,1,1080,49:33.0,9,0,4.49
400,1992,7,284,51:27.0,4,0,0.6
401,330,17,1158,02:22.0,6,15.54,11.98
402,1197,5,1942,25:54.0,6,0,3
403,245,7,1611,50:40.0,1,0,0.7
404,883,13,1061,24:34.0,10,0,8.78
405,1737,13,586,50:32.0,4,8.46,1.25
406,477,17,459,42:56.0,6,0,9.48
407,757,10,1718,40:00.0,1,0,0.68
408,919,20,1605,38:15.0,2,0,2.31
409,552,13,312,58:03.0,8,0,0.02
410,1679,20,1289,22:43.0,6,48.41,10.51
411,472,2,485,24:39.0,6,20.74,5.6
412,1240,17,564,43:44.0,9,6.74,1.75
413,809,17,837,02:43.0,7,0,3.27
414,336,5,1728,11:42.0,4,0,0.19
415,502,2,150,45:10.0,4,0,0.06
416,570,4,435,26:42.0,1,0,0.49
417,1749,4,1628,25:51.0,1,0,0.67
418,1174,5,1860,46:22.0,2,0,1.67
419,942,7,106,14:49.0,6,0,4.36
420,1970,17,5,40:39.0,5,0,2.82
421,1767,17,791,39:16.0,1,0,1.16
422,901,7,377,06:03.0,5,0,7.76
423,344,2,379,40:31.0,6,0,0.87
424,1933,13,561,23:58.0,1,0,0.96
425,1856,20,507,50:23.0,9,34.76,17.47
426,929,10,1243,48:44.0,10,0,12.51
427,1588,13,1143,01:09.0,9,0,0.36
428,679,20,1688,48:36.0,2,0,3.13
429,1919,13,57,39:13.0,1,0,1.54
430,1100,4,1134,27:53.0,7,0,7.25
431,1124,2,298,29:45.0,5,9.34,1.12
432,1138,20,305,53:44.0,2,31.86,3.11
433,1602,2,1404,43:34.0,6,0,11.76
434,1363,17,724,23:52.0,2,0,0.97
435,1708,5,939,28:19.0,2,0,1.39
436,953,5,306,50:49.0,5,44.3,6.74
437,1736,1,881,08:55.0,10,0,14.58
438,503,4,945,51:55.0,8,0,6.81
439,1025,13,1264,39:16.0,9,0,8.94
440,1809,2,1284,47:34.0,7,0,8.73
441,1822,7,1793,29:52.0,3,13.52,5.84
442,399,1,1999,30:44.0,2,0,3.49
443,1215,10,968,07:07.0,9,0,9.31
444,1497,13,394,23:08.0,3,0,4.22
445,1701,17,1367,21:09.0,4,0,4.02
446,1521,5,679,08:49.0,9,0,15.39
447,1944,1,1035,30:27.0,10,0,6.96
448,1390,4,377,08:20.0,2,0,3.04
449,347,2,159,46:10.0,4,0,3.74
450,925,2,1639,42:25.0,4,0,0.31
451,518,17,1871,58:02.0,1,36.24,1.56
452,1096,5,576,32:49.0,5,0,6.9
453,521,2,1751,46:54.0,5,0,0.8
454,1079,13,1846,36:55.0,6,0,6.79
455,801,7,601,18:43.0,9,0,7.04
456,1771,13,184,42:01.0,4,0,2.28
457,1720,5,1760,13:03.0,3,0,4.1
458,1581,20,1936,37:41.0,8,0,8.3
459,678,7,1245,12:57.0,10,47.56,4.35
460,1862,7,1378,45:56.0,7,0,0.58
461,1774,17,733,29:51.0,8,0,14.38
462,780,7,624,04:37.0,6,0,4.32
463,1902,10,1837,54:18.0,6,0,6.83
464,370,1,995,19:26.0,4,0,4.71
465,956,20,627,11:50.0,6,0,11.9
466,1558,20,1376,29:07.0,6,0,1.28
467,924,4,1699,35:06.0,7,0,0.4
468,188,1,1372,40:30.0,9,40.04,11.59
469,1856,4,1661,25:43.0,9,0,11.92
470,1200,7,33,15:39.0,10,0,8.81
471,718,17,1436,12:17.0,5,0,4.16
472,1094,7,91,48:04.0,5,0,0.82
473,1061,4,321,26:53.0,7,0,8.48
474,644,1,1868,50:34.0,8,0,1.55
475,665,20,1984,01:32.0,6,0,1.74
476,1587,5,1785,07:27.0,6,20.03,10.68
477,1397,5,867,00:30.0,1,44.44,0.98
478,284,13,1597,26:24.0,1,0,1.18
479,1723,7,387,06:38.0,6,0,3.12
480,412,7,407,45:54.0,4,0,7.2
481,1989,7,209,18:35.0,6,0,7.65
482,1605,20,1492,13:21.0,9,0,15.49
483,475,2,1373,48:17.0,5,0,8.45
484,1377,17,299,11:50.0,4,0,0.32
485,1095,20,864,18:24.0,5,36.48,9.7
486,1070,17,871,22:03.0,6,0,0.77
487,1781,4,1250,09:07.0,6,31.59,5.82
488,1601,5,649,51:41.0,6,26.88,0.95
489,1169,2,1467,52:27.0,10,16.5,12.89
490,1098,5,1063,36:04.0,1,0,1.7
491,1204,7,1985,29:27.0,3,0,1.88
492,1901,17,1784,28:41.0,2,0,2.28
493,1706,20,1273,41:16.0,4,0,6.65
494,1009,4,1276,44:43.0,1,0,0.47
495,1564,13,772,24:11.0,8,0,13.68
496,1390,10,979,41:15.0,7,0,7.78
497,1349,13,1114,45:20.0,1,0,1.18
498,757,7,493,02:11.0,3,0,4.77
499,1526,5,1904,14:46.0,3,0,4.93
500,1035,7,866,22:08.0,7,0,1.36
501,729,10,1333,06:09.0,9,0,8.82
502,881,7,1504,38:16.0,9,0,13.26
503,1590,20,1869,09:56.0,6,25.97,5.68
504,193,17,1213,02:54.0,7,0,1.93
505,1646,1,1301,18:58.0,5,0,0.03
506,1914,2,259,52:44.0,6,0,11.62
507,1497,20,520,17:42.0,1,26.6,1.6
508,1193,10,544,30:21.0,8,0,4.99
509,1673,10,507,54:43.0,4,0,5.4
510,1318,1,29,42:51.0,5,0,0.83
511,325,20,226,51:46.0,5,17.72,6.99
512,762,17,1654,15:52.0,5,0,0.73
513,1948,17,829,14:31.0,4,0,6.58
514,1508,5,1890,33:49.0,9,0,6.54
515,1329,5,1047,18:22.0,8,0,13.52
516,1366,17,1643,32:33.0,7,0,11.62
517,186,5,1287,37:39.0,9,0,1.32
518,1296,4,1852,44:39.0,1,0,0.43
519,316,13,1232,53:32.0,3,0,2.17
520,1064,20,1371,16:53.0,9,0,0.38
521,42,10,1544,22:32.0,8,33.02,4.17
522,1455,13,65,57:15.0,1,0,1.03
523,1507,1,1997,11:36.0,5,0,8.09
524,1534,10,1,35:49.0,5,0,3.05
525,283,10,1560,43:09.0,6,0,8.97
526,1186,17,1907,10:21.0,10,0,10.84
527,1049,4,1589,39:46.0,3,36.12,0.01
528,255,7,1659,10:29.0,3,0,2.73
529,1266,20,1331,34:54.0,4,0,5.44
530,400,5,403,18:09.0,10,0,14.52
531,590,5,1177,55:37.0,8,0,13.6
532,1264,5,1814,04:55.0,6,0,4.8
533,225,17,1234,27:41.0,6,0,8.93
534,380,17,525,27:48.0,1,0,0.56
535,383,13,1704,19:00.0,4,48.8,7.19
536,59,4,1256,20:09.0,10,0,6.68
537,276,10,896,10:40.0,7,0,6.85
538,737,2,1626,58:23.0,7,0,7.29
539,567,10,1397,40:34.0,4,0,5.79
540,236,10,922,47:31.0,1,0,1.72
541,765,4,1471,55:53.0,7,0,10.68
542,1221,7,1368,01:02.0,2,41.97,0.81
543,451,10,419,13:46.0,10,0,12.67
544,1166,20,1043,58:23.0,8,35.54,14.81
545,241,7,738,59:45.0,7,38.76,9.24
546,1621,20,233,22:15.0,6,0,1.72
547,619,17,733,42:58.0,7,0,7.65
548,500,2,548,17:47.0,8,0,15.19
549,855,5,1939,38:42.0,6,41.56,9.4
550,310,5,969,55:14.0,6,0,5.91
551,1207,20,250,09:04.0,1,0,0.29
552,1523,17,929,40:49.0,5,0,3.65
553,1412,1,631,56:26.0,5,0,4.29
554,1181,5,1124,50:59.0,5,0,8.11
555,104,4,1661,19:01.0,9,0,6.74
556,1457,20,1331,28:02.0,5,0,8.1
557,830,10,47,37:16.0,10,0,15.56
558,1212,2,1592,33:53.0,3,33.52,1.25
559,58,20,1522,57:16.0,2,0,4
560,482,17,836,57:46.0,5,45.07,8.17
561,180,1,1885,31:07.0,7,0,0.73
562,282,7,708,18:45.0,5,0,6.39
563,268,17,1732,31:05.0,2,0,1.27
564,610,1,1256,48:00.0,10,9.59,14.11
565,366,13,1995,22:33.0,8,0,3.02
566,838,5,990,54:38.0,10,0,4.08
567,1484,4,1694,27:34.0,8,0,14.71
568,605,10,100,06:25.0,8,0,9.07
569,701,1,521,40:37.0,6,0,1.62
570,779,13,865,37:21.0,5,0,3.6
571,814,2,223,23:11.0,8,0,16
572,613,10,1097,31:33.0,5,0,5.3
573,1352,5,144,21:14.0,1,0,1.3
574,1362,7,1807,36:19.0,9,0,4.59
575,1497,20,229,44:16.0,8,0,0.15
576,602,20,1687,05:13.0,6,0,2.01
577,847,1,229,56:44.0,7,0,1.39
578,1428,2,1743,25:10.0,7,0,6.15
579,1822,1,734,54:59.0,9,0,10.49
580,1621,17,1449,30:40.0,3,47.37,3.05
581,1263,2,1360,27:47.0,5,0,4.61
582,1230,7,1387,43:11.0,5,0,7.57
583,429,20,1583,22:50.0,6,0,5.08
584,1745,20,616,24:56.0,4,0,3.72
585,1314,5,1582,07:35.0,3,0,4.25
586,603,1,794,59:06.0,9,0,14.28
587,749,2,755,00:49.0,7,0,12.11
588,1097,7,1865,40:41.0,10,0,1.14
589,1490,17,1260,06:54.0,6,15.71,10.29
590,802,2,124,19:01.0,10,0,7.57
591,332,4,795,02:51.0,1,0,0.49
592,565,13,223,49:07.0,10,0,3.62
593,1983,17,557,37:10.0,8,0,8.6
594,368,1,844,43:47.0,2,15.1,1.41
595,547,20,260,08:46.0,8,0,6.72
596,593,5,1848,00:49.0,2,0,0.24
